Date,Last Price,Volume,RSI,MACD,News Sentiment - Daily Average,News Publication Count,P/E,P/B,Correction
4/12/2019,198.87,27654052,70.3318,0.0824,0.1243,2437,84.01774398,7.978618787,1
4/11/2019,198.95,20900808,70.5792,0.2609,0.3726,2752,84.05154204,7.981828368,0
4/10/2019,200.62,21695288,75.7447,0.4373,0.2843,2733,84.75707647,8.048828385,0
4/9/2019,199.5,35768236,74.5864,0.4347,0.1566,3027,84.28390368,8.003894242,1
4/8/2019,200.1,25881696,76.4013,0.4323,0.0806,1907,84.5373891,8.027966105,0
4/5/2019,197,18526644,73.2823,0.257,0.1417,2342,83.22771441,7.903594816,1
4/4/2019,195.69,19114276,71.8208,0.1986,0.1656,2511,82.67427123,7.851037916,1
4/3/2019,195.35,23271830,71.4444,0.1504,0.2693,2447,82.53062949,7.837397194,1
4/2/2019,194.02,22765732,69.988,0.0246,0.23,2989,81.9687368,7.784037899,1
4/1/2019,191.24,27861964,66.6909,-0.1134,0.1965,2144,80.79425433,7.672504937,1
3/29/2019,189.95,23563960,65.0358,-0.1115,0.1084,2596,45.58435325,8.429655053,1
3/28/2019,188.72,20780364,63.4268,-0.0386,0.1616,2723,45.28917687,8.375069764,1
3/27/2019,188.47,29848428,63.1063,0.1349,0.313,5242,45.22918167,8.363975193,1
3/26/2019,186.79,49800536,60.9727,0.3546,0.3896,9852,44.82601392,8.289419676,1
3/25/2019,188.74,43845292,65.0259,0.7754,0.3249,2596,45.29397648,8.37595733,0
3/22/2019,191.05,42407664,70.156,1.1139,0.4465,2857,45.84833213,8.478471166,0
3/21/2019,195.09,51034236,80.4653,1.2587,0.2661,3028,46.81785457,8.657759433,0
3/20/2019,188.16,31035232,74.4957,0.9104,0.2682,2797,45.15478762,8.350217925,1
3/19/2019,186.53,31646368,72.6717,0.926,0.3531,3901,44.76361891,8.277881322,1
3/18/2019,188.02,26219832,77.3684,0.9845,0.2697,1687,45.1211903,8.344004965,0
3/15/2019,186.12,39042912,75.493,0.7923,0.2677,3109,44.66522678,8.259686225,1
3/14/2019,183.73,23579508,72.8667,0.5649,0.4016,2983,44.09167267,8.153622127,1
3/13/2019,181.71,31032524,70.3751,0.3532,0.308,2648,43.60691145,8.063977993,1
3/12/2019,180.91,32467584,69.3397,0.1486,0.3112,3318,43.41492681,8.028475366,1
