Date,Last Price  (R1),News Publication Count  (R2),News Sentiment - Daily Average  (L1),Volume,RSI (14),Diff,P/E,P/B,BVPS,Shs Out(mil),BV,EPS,Correction
4/12/2019,198.87,2437,0.1243,27654052,70.3318,0.0824,84.01774398,7.978618787,24.92536682,"4,729.80","117,892.00",2.37,FALSE
4/11/2019,198.95,2752,0.3726,20900808,70.5792,0.2609,84.05154204,7.981828368,24.92536682,"4,729.80","117,892.00",2.37,FALSE
4/10/2019,200.62,2733,0.2843,21695288,75.7447,0.4373,84.75707647,8.048828385,24.92536682,"4,729.80","117,892.00",2.37,TRUE
4/9/2019,199.5,3027,0.1566,35768236,74.5864,0.4347,84.28390368,8.003894242,24.92536682,"4,729.80","117,892.00",2.37,FALSE
4/8/2019,200.1,1907,0.0806,25881696,76.4013,0.4323,84.5373891,8.027966105,24.92536682,"4,729.80","117,892.00",2.37,TRUE
4/5/2019,197,2342,0.1417,18526644,73.2823,0.257,83.22771441,7.903594816,24.92536682,"4,729.80","117,892.00",2.37,TRUE
4/4/2019,195.69,2511,0.1656,19114276,71.8208,0.1986,82.67427123,7.851037916,24.92536682,"4,729.80","117,892.00",2.37,TRUE
4/3/2019,195.35,2447,0.2693,23271830,71.4444,0.1504,82.53062949,7.837397194,24.92536682,"4,729.80","117,892.00",2.37,TRUE
4/2/2019,194.02,2989,0.23,22765732,69.988,0.0246,81.9687368,7.784037899,24.92536682,"4,729.80","117,892.00",2.37,TRUE
4/1/2019,191.24,2144,0.1965,27861964,66.6909,-0.1134,80.79425433,7.672504937,24.92536682,"4,729.80","117,892.00",2.37,TRUE
3/29/2019,189.95,2596,0.1084,23563960,65.0358,-0.1115,45.58435325,8.429655053,22.53354364,"4,755.00","107,147.00",4.17,TRUE
3/28/2019,188.72,2723,0.1616,20780364,63.4268,-0.0386,45.28917687,8.375069764,22.53354364,"4,755.00","107,147.00",4.17,TRUE
3/27/2019,188.47,5242,0.313,29848428,63.1063,0.1349,45.22918167,8.363975193,22.53354364,"4,755.00","107,147.00",4.17,TRUE
3/26/2019,186.79,9852,0.3896,49800536,60.9727,0.3546,44.82601392,8.289419676,22.53354364,"4,755.00","107,147.00",4.17,FALSE
3/25/2019,188.74,2596,0.3249,43845292,65.0259,0.7754,45.29397648,8.37595733,22.53354364,"4,755.00","107,147.00",4.17,FALSE
3/22/2019,191.05,2857,0.4465,42407664,70.156,1.1139,45.84833213,8.478471166,22.53354364,"4,755.00","107,147.00",4.17,FALSE
3/21/2019,195.09,3028,0.2661,51034236,80.4653,1.2587,46.81785457,8.657759433,22.53354364,"4,755.00","107,147.00",4.17,TRUE
3/20/2019,188.16,2797,0.2682,31035232,74.4957,0.9104,45.15478762,8.350217925,22.53354364,"4,755.00","107,147.00",4.17,TRUE
3/19/2019,186.53,3901,0.3531,31646368,72.6717,0.926,44.76361891,8.277881322,22.53354364,"4,755.00","107,147.00",4.17,FALSE
3/18/2019,188.02,1687,0.2697,26219832,77.3684,0.9845,45.1211903,8.344004965,22.53354364,"4,755.00","107,147.00",4.17,TRUE
3/15/2019,186.12,3109,0.2677,39042912,75.493,0.7923,44.66522678,8.259686225,22.53354364,"4,755.00","107,147.00",4.17,TRUE
3/14/2019,183.73,2983,0.4016,23579508,72.8667,0.5649,44.09167267,8.153622127,22.53354364,"4,755.00","107,147.00",4.17,TRUE
3/13/2019,181.71,2648,0.308,31032524,70.3751,0.3532,43.60691145,8.063977993,22.53354364,"4,755.00","107,147.00",4.17,TRUE
3/12/2019,180.91,3318,0.3112,32467584,69.3397,0.1486,43.41492681,8.028475366,22.53354364,"4,755.00","107,147.00",4.17,TRUE
3/11/2019,178.9,1386,0.2858,32011034,66.6177,-0.1505,42.93256539,7.939275015,22.53354364,"4,755.00","107,147.00",4.17,TRUE
3/8/2019,172.91,2360,0.0233,23999358,55.7457,-0.4516,41.49508039,7.673449093,22.53354364,"4,755.00","107,147.00",4.17,TRUE
3/7/2019,172.5,2755,0.0952,24796374,54.8103,-0.3261,41.39668826,7.655253997,22.53354364,"4,755.00","107,147.00",4.17,FALSE
3/6/2019,174.52,2322,0.1458,20810384,60.6779,-0.1002,41.88144948,7.744898131,22.53354364,"4,755.00","107,147.00",4.17,FALSE
3/5/2019,175.53,1908,0.1478,19737420,63.8515,0.0184,42.12383009,7.789720197,22.53354364,"4,755.00","107,147.00",4.17,FALSE
3/4/2019,175.85,1406,0.1717,27436204,64.8494,0.0584,42.20062395,7.803921248,22.53354364,"4,755.00","107,147.00",4.17,TRUE
3/1/2019,174.97,1641,0.0646,25886168,63.3884,0.0399,41.98944084,7.764868358,22.53354364,"4,755.00","107,147.00",4.17,TRUE
2/28/2019,173.15,1886,0.1291,28215416,60.2122,0.0521,41.55267579,7.684099881,22.53354364,"4,755.00","107,147.00",4.17,FALSE
2/27/2019,174.87,2016,0.1926,27835388,65.1738,0.208,41.96544276,7.76043053,22.53354364,"4,755.00","107,147.00",4.17,TRUE
2/26/2019,174.33,1939,0.2795,17070212,64.3167,0.2198,41.83585313,7.736466257,22.53354364,"4,755.00","107,147.00",4.17,TRUE
2/25/2019,174.23,1808,0.1324,21873358,64.165,0.2318,41.81185505,7.732028428,22.53354364,"4,755.00","107,147.00",4.17,TRUE
2/22/2019,172.97,2587,0.1764,18913154,62.2896,0.199,41.50947924,7.67611179,22.53354364,"4,755.00","107,147.00",4.17,TRUE
2/21/2019,171.06,3222,0.187,17249670,59.2908,0.2165,41.05111591,7.591349268,22.53354364,"4,755.00","107,147.00",4.17,FALSE
2/20/2019,172.03,2348,0.0729,26114362,61.6009,0.3795,41.28389729,7.634396203,22.53354364,"4,755.00","107,147.00",4.17,TRUE
2/19/2019,170.93,2351,0.0943,18972826,59.958,0.4688,41.01991841,7.585580091,22.53354364,"4,755.00","107,147.00",4.17,TRUE
2/15/2019,170.42,3029,0.2601,24626814,59.2066,0.645,40.8975282,7.562947166,22.53354364,"4,755.00","107,147.00",4.17,FALSE
2/14/2019,170.8,3508,-0.2417,21835748,59.9854,0.8868,40.9887209,7.579810914,22.53354364,"4,755.00","107,147.00",4.17,TRUE
2/13/2019,170.18,2972,0.1487,22490232,59.1718,1.1248,40.83993281,7.552296378,22.53354364,"4,755.00","107,147.00",4.17,FALSE
2/12/2019,170.89,2960,0.3035,22283524,60.4795,1.4419,41.01031917,7.58380496,22.53354364,"4,755.00","107,147.00",4.17,TRUE
2/11/2019,169.43,1706,0.2129,20993424,58.7383,1.7272,40.6599472,7.519012665,22.53354364,"4,755.00","107,147.00",4.17,FALSE
2/8/2019,170.41,2376,0.0383,23819966,60.3968,2.1643,40.89512839,7.562503383,22.53354364,"4,755.00","107,147.00",4.17,FALSE
2/7/2019,170.94,2154,0.1435,31741690,61.2656,2.5647,41.02231821,7.586023874,22.53354364,"4,755.00","107,147.00",4.17,FALSE
2/6/2019,174.24,2761,0.218,28239592,66.8227,2.9269,41.81425486,7.732472211,22.53354364,"4,755.00","107,147.00",4.17,TRUE
2/5/2019,174.18,2407,0.1847,36101628,66.7718,2.925,41.79985601,7.729809514,22.53354364,"4,755.00","107,147.00",4.17,TRUE
2/4/2019,171.25,1220,0.1576,31495582,64.2881,2.6952,41.09671226,7.599781142,22.53354364,"4,755.00","107,147.00",4.17,TRUE
