Date,Last Price,Volume,RSI,MACD,News Sentiment - Daily Average,News Publication Count,P/E,P/B,Correction
4/12/2019,9,69332032,33.6784,-0.1374,-0.1919,282,75,2.23325062,0
4/11/2019,9.12,54814780,35.459,-0.1299,-0.4331,215,76,2.263027295,0
4/10/2019,9.16,53871400,36.049,-0.1194,0.5519,376,76.33333333,2.272952854,0
4/9/2019,9.22,83170704,36.9042,-0.0971,-0.834,1102,76.83333333,2.287841191,0
4/8/2019,9.49,176008192,40.9649,-0.0604,-0.7141,557,79.08333333,2.35483871,0
4/5/2019,10.01,43257192,51.0011,-0.0254,0.1025,204,83.41666667,2.483870968,0
4/4/2019,10.03,41034092,51.4513,-0.0219,0.5319,254,83.58333333,2.488833747,0
4/3/2019,10.1,56139476,52.9709,-0.018,0.0701,247,84.16666667,2.506203474,0
4/2/2019,10.24,51748244,56.045,-0.019,-0.2134,282,85.33333333,2.540942928,0
4/1/2019,10.1,51346000,53.5414,-0.035,0.6071,178,84.16666667,2.506203474,1
3/29/2019,9.99,48519104,51.5271,-0.045,0.3618,306,111,2.478908189,1
3/28/2019,9.89,45199384,49.6855,-0.0479,0.4142,310,109.8888889,2.454094293,1
3/27/2019,9.96,55148304,50.9436,-0.0404,0.2878,315,110.6666667,2.47146402,0
3/26/2019,10.1,47624824,53.4572,-0.0344,-0.6397,230,112.2222222,2.506203474,0
3/25/2019,9.88,49727744,49.8462,-0.0385,0.1429,131,109.7777778,2.451612903,1
3/22/2019,9.98,81563528,51.5338,-0.0219,0.0646,291,110.8888889,2.476426799,0
3/21/2019,10.27,50518944,56.7034,-0.0064,-0.3411,246,114.1111111,2.548387097,0
3/20/2019,10.22,48370032,55.9967,-0.0133,0.2501,198,113.5555556,2.535980149,1
3/19/2019,10.19,54680924,55.5929,-0.0209,0.2219,272,113.2222222,2.52853598,1
3/18/2019,10.2,91647448,55.7512,-0.031,0.084,129,113.3333333,2.53101737,0
3/15/2019,9.96,189194128,52.7516,-0.0483,0.7319,1063,110.6666667,2.47146402,1
3/14/2019,10.3,133870752,57.9163,-0.0504,0.5176,772,114.4444444,2.555831266,0
3/13/2019,10.02,74164480,54.5106,-0.0874,-0.2521,256,111.3333333,2.486352357,1
3/12/2019,9.76,99369552,51.0982,-0.1138,0.886,390,108.4444444,2.421836228,1
3/11/2019,9.9,106050448,53.0894,-0.1236,0.3131,456,110,2.456575682,0
3/8/2019,9.58,87518656,48.8596,-0.1472,-0.3566,376,106.4444444,2.377171216,1
3/7/2019,9.45,127481096,47.0589,-0.1444,-0.2237,822,105,2.344913151,1
3/6/2019,9.11,205777728,42.1083,-0.1198,0.4437,947,101.2222222,2.260545906,1
3/5/2019,9.89,178783616,52.5829,-0.0414,-0.2942,365,109.8888889,2.454094293,0
3/4/2019,10.38,69762944,61.5081,0.0018,0.7431,196,115.3333333,2.575682382,0
3/1/2019,10.27,89000224,60.0962,0.0145,-0.1758,314,114.1111111,2.548387097,1
2/28/2019,10.39,90862096,62.4154,0.0386,0.1672,433,115.4444444,2.578163772,0
2/27/2019,10.88,108833392,73.1135,0.0555,0.207,725,120.8888889,2.699751861,0
2/26/2019,10.66,103990624,71.0444,0.022,0.3991,1467,118.4444444,2.64516129,1
2/25/2019,10.4007,290232416,68.3816,-0.0166,0.4022,695,115.5633333,2.580818859,1
2/22/2019,9.7759,50741312,60.189,-0.056,-0.2141,262,108.6211111,2.425781638,1
2/21/2019,9.6414,49533184,58.0132,-0.0564,0.3807,246,107.1266667,2.392406948,1
2/20/2019,9.7086,48648592,59.5236,-0.0446,-0.3778,237,107.8733333,2.409081886,0
2/19/2019,9.7375,63568392,60.1468,-0.0349,0.0877,191,108.1944444,2.416253102,0
2/15/2019,9.699,78344512,59.6234,-0.0258,-0.3538,423,107.7666667,2.406699752,1
2/14/2019,9.651,93387112,58.9984,-0.0116,-0.3954,286,107.2333333,2.394789082,1
2/13/2019,9.9682,98937024,65.182,0.0104,0.4105,270,110.7577778,2.473498759,0
2/12/2019,9.5933,67122312,60.6568,0.0058,-0.4801,244,106.5922222,2.380471464,1
2/11/2019,9.6414,70687504,61.61,0.0297,0.1671,171,107.1266667,2.392406948,0
2/8/2019,9.4299,118549512,58.976,0.0538,0.3176,352,104.7766667,2.339925558,1
2/7/2019,9.6702,108704200,63.5791,0.103,0.2934,222,107.4466667,2.39955335,0
2/6/2019,10.0643,120486528,72.1557,0.1422,-0.1749,392,111.8255556,2.497344913,0
2/5/2019,10.2181,102823120,75.864,0.1469,0.1686,408,113.5344444,2.535508685,0
2/4/2019,9.8144,103243872,72.4074,0.1211,0.8667,150,109.0488889,2.435334988,1
2/1/2019,9.7952,158161792,72.2316,0.1062,0.8249,1453,108.8355556,2.43057072,1
1/31/2019,9.7663,348639456,71.9829,0.0712,0.8178,1176,108.5144444,2.423399504,1
1/30/2019,8.7474,86434568,60.3244,0.0083,0.3917,320,97.19333333,2.17057072,1
1/29/2019,8.5551,114467696,57.2043,0.0074,0.7566,406,95.05666667,2.122853598,1
1/28/2019,8.584,91635872,57.8378,0.0213,0.1798,216,95.37777778,2.130024814,0
1/25/2019,8.8051,112339640,62.7881,0.035,0.2923,298,97.83444444,2.184888337,0
1/24/2019,8.4398,90331552,57.1634,0.028,0.4295,317,93.77555556,2.094243176,1
1/23/2019,8.3917,72385912,56.3574,0.0482,0.199,276,93.24111111,2.082307692,1
1/22/2019,8.3244,108172008,55.2631,0.078,0.0592,162,92.49333333,2.06560794,1
1/18/2019,8.7089,92734520,63.7437,0.1228,0.4909,281,96.76555556,2.16101737,0
1/17/2019,8.7858,105792240,65.6137,0.1419,0.2888,249,97.62,2.180099256,0
1/16/2019,8.632,84265680,63.6324,0.1503,0.4363,242,95.91111111,2.141935484,1
1/15/2019,8.3917,94058192,60.3147,0.1648,0.2832,265,93.24111111,2.082307692,1
1/14/2019,8.5551,81678104,64.0013,0.1974,0.5188,127,95.05666667,2.122853598,0
1/11/2019,8.5936,80669288,64.8676,0.2154,0.199,263,95.48444444,2.132406948,0
1/10/2019,8.5936,112341456,64.8676,0.2222,-0.5395,237,95.48444444,2.132406948,0
1/9/2019,8.1706,116306328,59.693,0.2153,0.2043,304,90.78444444,2.027444169,1
1/8/2019,8.2283,146980416,60.8275,0.2308,0.4015,514,91.42555556,2.041761787,0
1/7/2019,8.4013,179684448,64.2278,0.2328,0.3194,254,93.34777778,2.084689826,0
1/4/2019,7.9111,120083768,58.0595,0.202,-0.4272,179,87.90111111,1.963052109,1
1/3/2019,7.7477,122949016,55.6948,0.1899,0.6831,260,86.08555556,1.922506203,1
1/2/2019,7.7381,129354096,55.5579,0.1762,-0.0559,76,85.97888889,1.920124069,1
12/31/2018,7.2767,108361488,48.4617,0.146,-0.5889,83,33.07590909,2.044016854,1
12/28/2018,7.219,121670848,47.4885,0.1387,0.3734,179,32.81363636,2.027808989,1
12/27/2018,6.9883,119778560,43.5276,0.1278,-0.2154,126,31.765,1.963005618,1
12/26/2018,7.1036,129838568,45.1073,0.1305,0.2776,63,32.28909091,1.995393258,0
12/24/2018,6.6519,70010440,36.7603,0.1197,-0.4299,147,30.23590909,1.868511236,1
12/21/2018,6.8729,185651344,39.4888,0.1466,-0.1588,265,31.24045455,1.930589888,0
12/20/2018,7.1517,182353568,43.2472,0.1631,0.3581,507,32.50772727,2.008904494,0
12/19/2018,7.3632,219474208,46.3551,0.1566,0.4386,377,33.46909091,2.068314607,0
12/18/2018,6.9979,146773504,39.3664,0.1211,-0.0644,267,31.80863636,1.965702247,1
12/17/2018,6.8729,129731136,36.7488,0.1017,0.0053,229,31.24045455,1.930589888,1
12/14/2018,6.8249,128800696,35.7583,0.0857,0.7541,1014,31.02227273,1.917106742,1
12/13/2018,6.921,207282032,36.8294,0.0689,0.5981,540,31.45909091,1.944101124,0
12/12/2018,6.45,105819952,26.8614,0.0379,-0.2846,325,29.31818182,1.811797753,1
12/11/2018,6.4981,124580600,27.2691,0.0447,0.1932,354,29.53681818,1.825308989,0
12/10/2018,6.6615,112841776,28.6416,0.0587,0.1256,254,30.27954545,1.871207865,0
12/7/2018,6.7384,114480096,29.2857,0.0714,-0.4145,286,30.62909091,1.892808989,0
12/6/2018,7.0652,112965744,32.1379,0.0899,0.2406,179,32.11454545,1.984606742,0
